trial_id,title,intervention_name,intervention_type,phase,status,summary,sponsor,outcome
NCT02750358,Feasibility Study of Adjuvant Enzalutamide for the Treatment of Early Stage AR(+) Triple Negative Breast Cancer,Enzalutamide; assessment,DRUG; BEHAVIORAL,,ACTIVE_NOT_RECRUITING,"This trial is designed to determine the feasibility of 1 year of adjuvant enzalutamide, an androgen receptor (AR) antagonist for the treatment of patients with early stage, AR(+) triple negative breast cancer (TNBC).",Memorial Sloan Kettering Cancer Center,1.0
NCT04494958,Phase IB Clinical Trial of Palbociclib and Binimetinib in Advanced Triple Negative Breast Cancer With Hyperactivation of ERK and/or CDK4/6,"Combination, Palbociclib + Binimetinib",DRUG,,COMPLETED,"This study is an interventional, prospective, multicentric, single-arm, open label, phase Ib clinical trial. This study will be carried out in patients diagnosed of metastatic or locally advanced unresectable triple negative breast cancer with activation of ERK and/or CDK4/6 in which the following will be assesed: the overall response rate, the aggregation of antitumor effect depending on the different kinome profiles and the safety profile to the combination of palbociclib and binimetinib.",Fundacion Oncosur,1.0
NCT01127763,Phase II Trial of RAD001 Plus Carboplatin in Patients With Triple-Negative Metastatic Breast Cancer,RAD001; Carboplatin,DRUG; DRUG,,COMPLETED,This study investigates the effectiveness of combination of carboplatin and investigational agent RAD001 in triple-negative breast cancer.,NYU Langone Health,1.0
NCT02521363,"Pilot Trial of an Implantable Microdevice for In Vivo Drug Sensitivity Testing in Patients With Early Stage, HER2-Positive or Triple Negative Breast Cancer",KIBUR MICRODEVICE; anthracycline and taxane based chemotherapy,DEVICE; DRUG,,COMPLETED,"The purpose of this study is to test the safety and feasibility of placing and removing a small device that contains anti-cancer drugs in a breast tumor of patients who plan on having breast surgery without treatment prior or patients who plan on receiving standard preoperative chemotherapy prior to their breast surgery. This device may be able to predict what types of treatment work best against an individual's breast cancer. With this device, the investigators hope to be able to personalize treatment choices based on an individual's type of breast cancer.",Memorial Sloan Kettering Cancer Center,1.0
NCT03197935,A Phase III Randomized Study to Investigate the Efficacy and Safety of Atezolizumab (Anti-PD-L1 Antibody) in Combination With Neoadjuvant Anthracycline/Nab-Paclitaxel-Based Chemotherapy Compared With Placebo and Chemotherapy in Patients With Primary Invasive Triple-Negative Breast Cancer,"Atezolizumab (MPDL3280A), an engineered anti-PDL1 antibody; Placebo; Nab-paclitaxel; Doxorubicin; Cyclophosphamide; Filgrastim; Pegfilgrastim",DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG,,COMPLETED,"This is a global Phase III, double-blind, randomized, placebo-controlled study designed to evaluate the efficacy and safety of neoadjuvant treatment with atezolizumab (anti-programmed death-ligand 1 \[anti-PD-L1\] antibody) and nab-paclitaxel followed by doxorubicin and cyclophosphamide (nab-pac-AC), or placebo and nab-pac-AC in participants eligible for surgery with initial clinically assessed triple-negative breast cancer (TNBC).",Hoffmann-La Roche,1.0
NCT02432963,A Phase I Study of a p53MVA Vaccine in Combination With Pembrolizumab,Laboratory Biomarker Analysis; Modified Vaccinia Virus Ankara Vaccine Expressing p53; Pembrolizumab,OTHER; BIOLOGICAL; BIOLOGICAL,,ACTIVE_NOT_RECRUITING,"This phase I trial studies the side effects of vaccine therapy and pembrolizumab in treating patients with solid tumors that have spread to other places in the body and usually cannot be cured or controlled with treatment, that have failed prior therapy, and that cannot be removed by surgery. Vaccines made from a gene-modified virus may help the body build an effective immune response to kill tumor cells. Monoclonal antibodies, such as pembrolizumab, may block tumor growth in different ways by targeting certain cells. Giving vaccine therapy together with pembrolizumab may be a better treatment in patients with solid tumors.",City of Hope Medical Center,1.0
NCT04577963,"An Open-Label, Phase 1b/2 Study to Evaluate the Safety and Efficacy of Fruquintinib in Combination With Tislelizumab in Patients With Advanced Solid Tumors",Fruquintinib; Tislelizumab,DRUG; DRUG,,TERMINATED,"This is an open-label, multi-center, non-randomized, Phase 1b/2 study to assess the safety and efficacy of fruquintinib in combination with tislelizumab in patients with locally advanced or metastatic solid tumors. This study will be conducted in 2 parts; a Safety Lead-in Phase (Part 1) and a Dose Expansion Phase (Part 2).

The Safety Lead-in Phase, open to any-comer solid tumors, will determine the RP2D. The RP2D will be administered to 3 cohorts of patients in the Dose Expansion Phase.

* Cohort A: Advanced or Metastatic Triple Negative Breast Cancer (TNBC) (IO-treated)
* Cohort B: Advanced or Metastatic Triple Negative Breast Cancer (TNBC) (IO-Naïve)
* Cohort C: Advanced or Metastatic Endometrial Cancer (EC) (IO-Naïve)
* Cohort D: Advanced or Metastatic Colorectal Cancer (mCRC) (IO-Naïve)",Hutchmed,0.0
NCT03544125,A Pilot Study of Olaparib and Durvalumab in Patients With Metastatic Triple Negative Breast Cancer,Durvalumab; Olaparib,BIOLOGICAL; DRUG,,COMPLETED,"This pilot phase I trial studies whether it is feasible to conduct a detailed molecular profile of triple negative breast cancer as part of a treatment strategy that asks whether or not we can lower the chance of breast cancer growing or spreading, by treating with a combination of PARP inhibitor how well (olaparib) and immune therapy (durvalumab). Olaparib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Immunotherapy with monoclonal antibodies, such as durvalumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving olaparib and durvalumab may work better in treating participants with metastatic triple negative breast cancer.",OHSU Knight Cancer Institute,1.0
NCT02352025,A Pre-surgical Clinical Trial of Therapy With S-equol in Women With Triple Negative Breast Cancer.,S-equol,DRUG,,COMPLETED,"The primary objective of this study is to determine if S-equol, an ER-beta agonist, is effective in decreasing the proliferation rate of triple negative breast cancer.",The University of Texas Health Science Center at San Antonio,1.0
NCT01560663,Predictors of Response to Neoadjuvant Docetaxel-Carboplatin Chemotherapy for Patients With Stage II and III Triple Negative Breast Cancer,Docetaxel- Carboplatin,DRUG,,ACTIVE_NOT_RECRUITING,"Neoadjuvant (preoperative) chemotherapy is an interesting research tool which allows investigators to test new drugs and/or new schedules with a validated surrogate endpoint, pCR. It also represents an ideal model to evaluate the relationships between treatments and tumor biomarkers. Recent publications have shown that new molecular classifications of breast cancer (intrinsic subtypes) have an important prognostic and predictive value. Using microarrays for gene expression profiling seems to be the best way to perform this classification; nevertheless such assays are not optimally available for common clinical practice. The IHC-based classification systems are still useful, as fresh tissue is not normally available in clinical practice, and has been shown to correlate well with intrinsic classification using gene expression microarrays. Recently the PAM50 gene set provided a risk of relapse score not only in ER-positive, node negative patients (similarly to the Oncotype Dx Recurrence Score) but also in the ER negative disease. Additionally, the PAM 50 assay was highly predictive of neoadjuvant response when considering all patients. This assay added significant prognostic and predictive value to pathologic staging, histologic grade, and standard clinical molecular markers while using an easy technique that can be performed in clinical practice because the qRT-PCR assay can be performed using FFEP tissue.

Triple Negative Breast Cancer (TNBC) is defined by a lack of expression of ER, PgR and HER-2. DNA microarray profiling studies have led to the classification of invasive breast carcinoma into five subtypes: luminal A and B, normal breast-like, HER2/neu overexpressing and basal-like subtypes, with clinical implications. Later on, a new subtype, the claudin-low, has been described. Although not synonymous, the majority of TNBCs carry the basal-like breast cancer (BLBC) molecular profile.

The triple negative subtype accounts for 11-20% of breast cancer in different studies, whereas in selected cohorts of patients with advanced breast cancer or African-American ethnicity, TNBC may be diagnosed among as many as 23-28%.

Patients with TN breast tumors treated with standard chemotherapy have a shorter DFS and OS than non-TNBC, this difference have been shown to be independent from tumor grade, nodal status and treatment in some studies. The peak risk of recurrence occurs within the first 3 years after initial treatment, with the majority of deaths occurring in the first five years.

Chemotherapy remains the only systemic treatment option available for TNBC patients. Several studies have shown that TNBC/BLBC is associated with an increased response rate to neoadjuvant chemotherapy when compared with luminal tumors. However, TNBC patients have a significantly decreased DFS and OS in comparison with luminal patients. The largest study exploring response and survival in early stage breast cancer treated with neoadjuvant chemotherapy was reported by Liedtke et al. Although an increase pCR rate was observed among the TNBC patients, they had a shorter lifespan than the non-TN ones. Patients experiencing pCR had an excellent OS regardless of hormone receptor expression, but patients with residual disease had a significantly shorter survival associated with TNBC compared with non-TN ones. This demonstrates that poor OS is derived from chemo-resistant patients (what unfortunately represent \> 50% of them).

A relevant problem is the differential response to drugs of TN tumors. These tumors are usually treated with multidrug combinations including anthracyclines and taxanes, with pCR´s of 28-32%. Only recently, the results of a few small trials combining platinum salts and taxanes have been reported, with encouraging results (pCR of 44-77%). The taxane-platinum salt combinations have a biological background, since TN not associated BRCA1 mutations are sensitive to taxanes and resistant to anthracyclines and platinum salts are effective in TN tumors probably because a significant proportion of them have functional DNA repair deficiencies.

The primary objective of the study is to identify predictors of response to docetaxel-carboplatin in patients with triple negative primary tumors. Response is defined as lack of invasive tumor in breast plus axilla after neoadjuvant chemotherapy (PCR, pathological complete response).",Miguel Martín Jiménez,1.0
NCT03978663,Evaluating the Use of Stereotactic Radiation Therapy Prior to Neoadjuvant Chemotherapy for High-risk Breast Carcinoma (a SIGNAL Series Clinical Trial): Three Fraction Radiation to Induce Immuno-Oncologic Response (TRIO Trial),Neoadjuvant radiotherapy,RADIATION,,ACTIVE_NOT_RECRUITING,Patients with high risk breast cancers (any locally advanced breast cancer patient defined as Stages IIB-III \[excluding inflammatory breast cancer\] with stage IIA being eligible for triple negative and HER2-positive breast cancers) will receive neoadjuvant radiation to any portion of their tumour in three fractions in order to act as an immune primer. Radiation will be delivered to a portion of the tumour in three fractions. The patient will be positioned prone as per the SIGNAL 2.0 protocol. The patient will then go on to standard of care treatment (neoadjuvant chemotherapy and surgery) followed by whole-breast radiation as needed. Pathologic complete response will be the primary outcome. Immune markers will also be evaluated.,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,1.0
NCT03280563,"A Phase Ib/II, Open-Label, Multicenter, Randomized Umbrella Study Evaluating the Efficacy and Safety of Multiple Immunotherapy-Based Treatment Combinations in Patients With Hormone Receptor-Positive HER2-Negative Breast Cancer (MORPHEUS-HR+ Breast Cancer)","Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 (PD-L1) antibody; Bevacizumab; Entinostat; Exemestane; Fulvestrant; Ipatasertib; Tamoxifen; Abemaciclib",DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG; DRUG,,COMPLETED,"This study is designed to evaluate the efficacy, safety, and pharmacokinetics of several immunotherapy-based combination treatments in participants with inoperable locally advanced or metastatic HR-positive, HER2-negative breast cancer who have progressed during or following treatment with a cyclin-dependent kinase (CDK) 4/6 inhibitor in the first- or second-line setting, such as palbociclib, ribociclib, or abemaciclib. The study will be performed in two stages. During Stage 1, participants will be randomized to fulvestrant (control) or an atezolizumab-containing doublet or triplet combination. Those who experience disease progression, loss of clinical benefit, or unacceptable toxicity may be eligible to receive a new triplet combination treatment in Stage 2 until loss of clinical benefit or unacceptable toxicity. New treatment arms may be added and/or existing treatment arms may be closed during the course of the study on the basis of ongoing clinical efficacy and safety as well as the current treatments available.",Hoffmann-La Roche,1.0
NCT05388435,"A Phase 1/2, Open-Label, Multicenter, Dose-Finding Study of SKL27969 to Evaluate Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy in Patients With Advanced Solid Tumors",SKL27969,DRUG,,TERMINATED,"Primary Objective of Part 1 (Dose Escalation Phase): Evaluate the safety and tolerability of SKL27969, and determine the maximum tolerated dose (MTD) and/or recommended Phase 2 dose (RP2D) of SKL27969

Primary Objective of Part 2 (Dose Expansion Phase): Evaluate the preliminary anti-tumor activity of SKL27969","SK Life Science, Inc.",0.0
NCT01377363,Evaluation of Degree of Conversion of HER2 Receptor Between Primary Breast Cancer and Metastasis,,,,COMPLETED,"This is a Prospective Clinical Trial without drugs, to determine the HER2 status in the metastasis of patients with primary breast cancer HER2. 32 Sites have been taking part in this Clinical Trial.",Spanish Breast Cancer Research Group,1.0
NCT01287624,"A Phase III, Multicenter, Open-Label, Randomized Study of Gemcitabine Plus Cisplatin (GP) Versus Gemcitabine Plus Paclitaxel (GT) as First-Line Treatment in Patients With Advanced Triple-Negative Breast Cancer","Gemcitabine,cisplatin; Gemcitabine, Paclitaxel",DRUG; DRUG,,COMPLETED,"This is a prospective, multi-center, open-labeled, randomized phase III clinical trial comparing overall response rate (ORR), progression free survival (PFS), overall survival (OS) and toxicity obtained with gemcitabine cisplatin combination (GP) versus gemcitabine paclitaxel combination (GT).",Fudan University,1.0
NCT01445418,A Phase I Study With an Expansion Cohort of the PARP Inhibitor AZD2281 (KU-0059436) Combined With Carboplatin in Breast and Ovarian Cancer in BRCA1/2 Mutation Carriers (Familial Breast and Ovarian Cancer) and Sporadic Triple Negative Breast Cancer and Ovarian Cancer,AZ2281 + Carboplatin,DRUG,,COMPLETED,"Background:

* Carboplatin is approved by the Food and Drug Administration to treat cancer.
* AZD2281 is an experimental drug in a class of agents called PARP inhibitors. PARP is a protein that is -involved in repairing DNA damage; PARP inhibitors interfere with that process.

Objectives:

* To determine the optimum doses of AZD2281 and carboplatin that can safely be used in patients with breast and ovarian cancer.
* To evaluate the response of the tumor to the drug combination and determine the side effects of the treatment.

Eligibility:

-Patients 18 years of age or older with breast or ovarian cancer who have a family history of cancer or who have a BRCA1 or BRCA2 mutation.

Design:

* In this dose escalation study, the first small group of patients receives the smallest study doses of AZD2281 and carboplatin. Subsequent groups receive incrementally higher doses of first AZD2281 and then carboplatin as long as the preceding group has not experienced unacceptable side effects. When the highest safe dose is determined, additional patients receive that dose.
* Patients receive treatment in 21-day cycles as follows: AZD2281 by mouth twice a day every day; carboplatin thorough a vein on day 8 of each cycle. Treatment may continue until it is no longer beneficial.
* Evaluations during treatment include the following:
* Physical examination 1 week after starting treatment and then every 3 weeks.
* Blood tests weekly for the first 4 weeks of treatment and then every 3 weeks.
* CT scans or other imaging tests such as ultrasound or MRI every 6 weeks to evaluate the tumor.",National Cancer Institute (NCI),1.0
NCT04250818,Predicting Response of Metastatic Triple Negative Breast Cancer to Immunotherapy Based on Patients Cytokine Profile,,,,SUSPENDED,Recent progress in immunotherapy (IT) has shifted treatment paradigms for multiple malignancies including breast cancer. It has been shown that levels of certain cytokines were correlated with increased response to immunotherapy in patients with metastatic breast cancer. In this study investigators will perform cytokine profiling among patients diagnosed with metastatic triple-negative breast cancer at different time points during the treatment.,"Texas Tech University Health Sciences Center, El Paso",0.0
NCT02162719,"A Randomized, Phase II, Multi-Center, Placebo-Controlled Study of Ipatasertib (GDC-0068), an Inhibitor of Akt, in Combination With Paclitaxel as Front-Line Treatment for Patients With Metastatic Triple-Negative Breast Cancer",Ipatasertib; Paclitaxel; Placebo,DRUG; DRUG; DRUG,,COMPLETED,"This multicenter, randomized, double-blind study will estimate the efficacy, safety and tolerability of ipatasertib combined with paclitaxel compared with placebo combined with paclitaxel in participants with inoperable locally advanced or metastatic triple-negative breast cancer (mTNBC), as measured by progression-free survival (PFS) in all participants and in participants with phosphatase and tensin homolog (PTEN)-low tumors.","Genentech, Inc.",1.0
NCT04408118,Phase II Clinical Trial to Evaluate the Efficacy and Safety of First Line Atezolizumab in Combination With Paclitaxel and Bevacizumab (Avastin®) in Patients With Advanced or Metastatic Triple-negative Breast Cancer,Atezolizumab; Paclitaxel; Bevacizumab,DRUG; DRUG; DRUG,,COMPLETED,"This is a multicenter, open-label, single-arm, phase II clinical trial to evaluate to evaluate the efficacy and safety of first line atezolizumab in combination with paclitaxel and bevacizumab (Avastin®) in patients with advanced or metastatic triple-negative breast cancer (mTNBC)",MedSIR,1.0
NCT01939418,A Phase Ib Trial of Gemcitabine and Cisplatin With RAD001 in Patients With Metastatic Triple Negative Breast Cancer Proceeding to an Open Label Randomized Phase II Trial Comparing Gemcitabine/Cisplatin With or Without RAD001.,RAD001; Gemcitabine; Cisplatin,DRUG; DRUG; DRUG,,TERMINATED,"This study consists of two parts. In a phase Ib part, investigators will explore the recommended dose of gemcitabine, cisplatin, and RAD001 combination in patients with metastatic TNBC. After completing the phase Ib part, investigators will review the data and discuss with Novartis before the start of a phase II part. In the phase II part, investigators will compare the efficacy of the gemcitabine and cisplatin with or without RAD001 in patients with metastatic TNBC.","National Cancer Center, Korea",0.0
NCT04418219,A Phase I/II Study of the SV-BR-1-GM Regimen in HLA Matched Metastatic Breast Cancer Patients in Combination With Pembrolizumab,Cyclophosphamide; Allogeneic GM-CSF-secreting Breast Cancer Vaccine SV-BR-1-GM; Pembrolizumab; Recombinant Interferon Alpha 2b-like Protein; Questionnaire Administration; Quality of Life Assessment,DRUG; BIOLOGICAL; BIOLOGICAL; BIOLOGICAL; OTHER; OTHER,,WITHDRAWN,"This phase I/II trial studies the side effects of a breast cancer vaccine (SV-BR-1-GM) and how well it works in combination with pembrolizumab for the treatment of breast cancer that is persistent, has come back (recurrent), or has spread to other places in the body (metastatic). Breast cancer vaccine SV-BR-1-GM is a human breast cancer cell line that has been genetically engineered to produce a substance called ""GM-CSF"" (granulocyte-macrophage colony stimulating factor) which occurs naturally in the body. GM-CSF is normally produced by white blood cells and helps the body develop immunity to disease-causing germs. Immunotherapy with monoclonal antibodies such as pembrolizumab may help the body's immune system attack the cancer and may interfere with the ability of tumor cells to grow and spread. Anti-cancer drugs such as cyclophosphamide may help boost the immune response. Interferon alpha 2b may help stimulate the immune system to fight cancer. This trial may help doctors see whether SV-BR-1-GM injections help boost the immune system and/or help control or help shrink breast cancer along with the other drugs that also boost the immune system.",Thomas Jefferson University,0.0
NCT05750719,Impact of BRCA Mutation Status on Outcome and Response to Neoadjuvant Chemotherapy (NACT) in Triple-negative Breast Cancer (TNBC) Patients.,BRCA1/2 genetic testing,GENETIC,,COMPLETED,"The goal of this observational study is to evaluate data from patients with triple-negative breast cancer (TNBC) treated with neoadjuvant chemotherapy (NACT) in order to better define the impact of germline BRCA1/2 (gBRCA1/2) mutation status on outcomes in this patient population.

The aims of the study are:

* To evaluate the rate of pathologic complete response (pCR) in patients with locally advanced TNBC who performed NACT, in relation to the mutational status of gBRCA.
* To evaluate Evaluate Event Free survival (EFS) and Overall Survival (OS) in this patients population.",Fondazione Policlinico Universitario Agostino Gemelli IRCCS,1.0
NCT03289819,A Phase II One-arm Open-label Neoadjuvant Study of Pembrolizumab in Combination With Nab-paclitaxel Followed by Pembrolizumab in Combination With Epirubicin and Cyclophosphamide in Patients With Triple Negative Breast Cancer,Pembrolizumab; nab-paclitaxel; Epirubicin; Cyclophosphamide,DRUG; DRUG; DRUG; DRUG,,COMPLETED,"Despite its aggressiveness and high incidence, to date, no targeted therapies exist for the treatment of triple negative breast cancer (TNBC). Emerging evidence suggests a crucial role of tumor immunology on outcome for this entity. Checkpoint inhibitors like pembrolizumab, which target immune cells within the tumor, might therefore have an important impact on therapy response and outcome in these high risk patients. We propose a phase II study exploring pathological complete response and the safety of the combination of pembrolizumab and nab-paclitaxel as well as the combination of pembrolizumab with epirubicin and cyclophosphamide in the neoadjuvant setting for women with early TNBC. After completion of this study an extension will be determined.",Institut fuer Frauengesundheit,1.0
NCT04134884,A Phase I Study of ASTX727 Plus Talazoparib in Patients With Triple Negative or Hormone Resistant/ Human Epidermal Growth Factor Receptor 2 (HER2)-Negative Metastatic Breast Cancer,Talazoparib; ASTX727,DRUG; DRUG,,COMPLETED,This is a Phase I study to test the safety of a combination of ASTX727 with talazoparib in patients with triple negative breast cancer or hormone resistant/HER2-negative metastatic breast cancer,Kathy Miller,1.0
NCT04916002,"A Multicenter, Open-label, Phase 2 Study of Intratumoral Vidutolimod (CMP-001) in Combination With Intravenous Cemiplimab in Subjects With Selected Types of Advanced or Metastatic Cancer",vidutolimod; cemiplimab,DRUG; DRUG,,TERMINATED,"The goal of this study is to learn if giving cemiplimab and vidutolimod together could be effective in treating advanced cancer. The main questions it aims to answer are:

* How many participants' cancers respond to vidutolimod together with cemiplimab?
* Is vidutolimod together with cemiplimab safe and well-tolerated?
* How well does vidutolimod together with cemiplimab treat participants' cancer?

Participants will receive trial treatment for up to 2 years. 30 days after stopping treatment, participants will have a follow-up visit. After that visit, the trial staff will continue to follow up with participants about every 3 months, until the trial ends.",Regeneron Pharmaceuticals,0.0
NCT01094184,Open-Label Study of Bevacizumab (Avastin®) and Taxane Monotherapy for the First-Line Treatment of Patients With Advanced Triple Negative Breast Cancer,Bevacizumab; Paclitaxel; Docetaxel,DRUG; DRUG; DRUG,,COMPLETED,"This open-label, multi-center study will evaluate the safety, tolerability and effect of bevacizumab (Avastin) in combination with taxane (paclitaxel/ docetaxel) monotherapy on disease progression, survival time and Karnofsky performance status in female participants with estrogen-, progesterone- and human epidermal growth factor receptor 2 (HER2)-negative (triple-negative) breast cancer.",Hoffmann-La Roche,1.0
NCT01147484,"A Phase II Study of Foretinib in Patients With Estrogen Receptor (ER), Progesterone Receptor (PR), and Human Epidermal Growth Factor Receptor 2 (HER2) Negative, Recurrent/Metastatic Breast Cancer",Foretinib,DRUG,,COMPLETED,"The purpose of this study is to find out what effects this new drug foretinib has on this type of breast cancer, called ""triple negative"" breast cancer because the cancer tissue is estrogen, progesterone and HER2 receptor negative.",NCIC Clinical Trials Group,1.0
NCT03777579,"A Phase III, Multicenter, Randomized, Placebo-Controlled Study of JS001 (Anti-PD-1 Antibody) in Combination With Nab-Paclitaxel Compared With Placebo With Nab-Paclitaxel as First-line Therapy for Patients With Primarily Diagnose or Recurrent and Metastatic Triple-Negative Breast Cancer",JS001，an engineered anti-PD-1 antibody; Nab-Paclitaxel; Placebo,DRUG; DRUG; DRUG,,SUSPENDED,"This multicenter, randomized, double-blind study will evaluate the efficacy, safety of JS001 administered with nab-paclitaxel compared with placebo in combination with nab-paclitaxel as first-line therapy in participants with primarily diagnosed stage IV and recurrent or metastatic triple-negative breast cancer (TNBC) who have not received prior systemic therapy for metastatic breast cancer (mBC).","CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",0.0
NCT04514484,Pilot Trial of Nivolumab Plus Cabozantinib for Advanced Solid Tumors in Patients With HIV Infection,Biospecimen Collection; Cabozantinib S-malate; Computed Tomography; Magnetic Resonance Imaging; Nivolumab,PROCEDURE; DRUG; PROCEDURE; PROCEDURE; BIOLOGICAL,,ACTIVE_NOT_RECRUITING,"This phase I trial investigates the side effects of cabozantinib and nivolumab in treating patients with cancer that may have spread from where it first started to nearby tissue, lymph nodes, or distant parts of the body (advanced) and who are undergoing treatment for human immunodeficiency virus (HIV). Cabozantinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Immunotherapy with monoclonal antibodies, such as nivolumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving cabozantinib and nivolumab may shrink or stabilize cancer in patients undergoing treatment for HIV.",National Cancer Institute (NCI),1.0
NCT02981303,"A Multicenter, Open-label, Phase 2 Study of Imprime PGG and Pembrolizumab in Subjects With Advanced Melanoma Failing Front-line Treatment With Checkpoint Inhibitors (CPI) or TNBC Failing Front-line Chemotherapy for Metastatic Disease",Imprime PGG; Pembrolizumab,BIOLOGICAL; DRUG,,COMPLETED,"Objective: To determine the Overall Response Rate (ORR) to Imprime PGG + pembrolizumab in subjects with advanced melanoma or metastatic TNBC

Safety: To characterize the safety of Imprime PGG + pembrolizumab given in combination

Hypothesis: Restore (for melanoma) or enhance (for TNBC) sensitivity to checkpoint inhibitors (CPI) by appropriate and effective stimulation of the subject's innate and adaptive immune systems in those subjects who have failed 1st line therapy

The study will incorporate Simon's optimal 2-stage design with sample size fixed at 12 subjects each in Stage 1 for advanced melanoma and for Triple Negative Breast Cancer (TNBC) subjects. The safety criterion of ≤ 4 (or ≤ 33%) subjects with Grade 3/4 adverse events in Cycle 1 within either tumor type must be met in order to proceed to Stage 2. The starting dose is 4 mg/kg for Imprime PGG. In the event there are a total of \> 4 (or \> 33%) of subjects with Grade 3/4 adverse events in Cycle 1, the dose of Imprime PGG will be reduced to 2 mg/kg, and Stage 1 will be repeated at a dose of 2 mg/kg with an additional cohort of n=12 subjects. For the dose that meets the safety criterion in Stage 1, at least 1 response in melanoma subjects and 2 responses in TNBC subjects amongst the 12 subjects within each tumor type must be observed in order to proceed to Stage 2.

Stage 2 will enroll an additional 17 subjects with melanoma, and 30 subjects with TNBC. For the dose that meets the Stage 1 safety criterion, success will be declared if at least 4 amongst the total of up to 29 subjects with melanoma, and 13 amongst the total of up to 42 subjects with TNBC achieve an objective response.","HiberCell, Inc.",1.0
NCT02850302,,PET with FDG; Tumor exome analysis,OTHER; OTHER,,COMPLETED,"Breast cancer is a major public health problem. In France, it is the leading cause of cancer death in women. According to the National Cancer Institute (INCA), approximately 49,000 new cases were diagnosed in 2012 in France.

It is an heterogeneous disease, comprising a plurality of entities whose clinical behavior, biological and prognosis differ. Amongst these entities, the breast cancer triple negative (TN) is defined by the absence of expression of estrogen receptor and progesterone and the absence of overexpression of HER2 oncoprotein. It represents about 15% of breast cancers and occurs more frequently in young women. This is a very proliferative tumor phenotype with metastatic potential. Because of its genomic heterogeneity and lack of recurrent identified molecular target, no targeted therapy has today shown benefit in terms of survival compared to conventional cytotoxic chemotherapy, which partly explains the very poor prognosis of this tumor phenotype. The positron emission tomography (PET) with 18Fluoro-deoxy-glucose (FDG) is a molecular imaging test that can identify from the first or second neoadjuvant chemotherapy treatment non-responder patients to treatment with low probability of pathologic complete response (pCR) after neoadjuvant chemotherapy. For this two FDG-PET examinations should be performed; a) a pretreatment PET b) a control PET after one or two treatments. The objective of this pilot, single-center, prospective study is a preliminary identification of recurrent genomic alterations among triple-negative tumors with early chemoresistance, identified by PET in the first cycle of neoadjuvant therapy.",Centre Georges Francois Leclerc,1.0
NCT01045421,"A Phase 1 Dose Escalation Study of MLN8237, an Aurora A Kinase Inhibitor, in Adult Patients With Nonhematological Malignancies, Followed by a Phase 2 of MLN8237 in Lung, Breast, Head and Neck, or Gastroesophageal Malignancies",MLN8237 (Alisertib),DRUG,,COMPLETED,"This is an open-label, multicenter study with a phase 1 dose escalation portion and a 2-stage, phase 2 portion, investigating MLN8237 (alisertib) in patients with advanced nonhematological malignancies.","Millennium Pharmaceuticals, Inc.",1.0
NCT03945721,A Phase I Study of Niraparib Administered Concurrently With Postoperative RT in Triple Negative Breast Cancer Patients (UNITY),Niraparib; Radiation Therapy,DRUG; RADIATION,,ACTIVE_NOT_RECRUITING,This research study involves Niraparib as a possible treatment for triple negative breast cancer.,Massachusetts General Hospital,1.0
NCT01234402,"An Open-Label, Multicenter, Randomized Phase 2 Study Evaluating the Safety and Efficacy of Ramucirumab (IMC-1121B) Drug Product or Icrucumab (IMC-18F1) in Combination With Capecitabine or Capecitabine Monotherapy, in Unresectable, Locally Advanced or Metastatic Breast Cancer Patients Previously Treated With Anthracycline and Taxane Therapy",Ramucirumab DP; IMC-18F1; Capecitabine,BIOLOGICAL; BIOLOGICAL; DRUG,,COMPLETED,"An open-label, multicenter, randomized, Phase 2 trial in which participant with unresectable, locally advanced or metastatic breast cancer who have been previously treated with anthracycline and taxane therapy receive ramucirumab DP or Icrucumab (IMC-18F1) administered on an every-21-day cycle (in combination with oral capecitabine therapy; capecitabine is administered twice a day on Days 1-14 of each cycle). Approximately 150 participants will be randomized in a 1:1:1 ratio to either ramucirumab DP or Icrucumab (IMC-18F1) in combination with capecitabine (Arm A and Arm B, respectively) or capecitabine monotherapy (Arm C). Randomization will be stratified by triple-negative receptor status (estrogen receptor-negative, progesterone receptor-negative, and human epidermal growth factor receptor-2 \[HER2/neu\]-negative) (yes/no) and receipt of prior antiangiogenic therapy.

Treatment with the study medication(s) will continue until disease progression, the development of unacceptable toxicity, noncompliance or withdrawal of consent by the participant, or investigator decision. Capecitabine dose reductions in the setting of significant myelosuppression, hand-and-foot syndrome, or diarrhea will be required.",Eli Lilly and Company,1.0
