head,relation,tail
Carboplatin,has_type,DRUG
NCT02488967,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
NCT02488967,tests,Doxorubicin Hydrochloride
Doxorubicin Hydrochloride,has_type,DRUG
NCT02488967,tests,Laboratory Biomarker Analysis
Laboratory Biomarker Analysis,has_type,OTHER
NCT02488967,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT06926868,has_title,"A Randomized, Open-label, Inferentially Seamless Phase 2/3 Study of Izalontamab Brengitecan (BMS-986"
NCT06926868,has_status,NOT_YET_RECRUITING
NCT06926868,has_phase,
NCT06926868,sponsored_by,Bristol-Myers Squibb
NCT06926868,tests,Iza-bren
Iza-bren,has_type,DRUG
NCT06926868,tests,Nab-paclitaxel
Nab-paclitaxel,has_type,DRUG
NCT06926868,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT06926868,tests,Capecitabine
Capecitabine,has_type,DRUG
NCT06926868,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT06926868,tests,Gemcitabine
Gemcitabine,has_type,DRUG
NCT03332368,has_title,Clinical Study on Prevention and Treatment of Recurrent and Metastasis of Triple Negative Breast Can
NCT03332368,has_status,UNKNOWN
NCT03332368,has_phase,
NCT03332368,sponsored_by,Sheng Liu
NCT03332368,tests,Traditional Chinese medicine
Traditional Chinese medicine,has_type,OTHER
NCT06099769,has_title,"A RANDOMIZED, PHASE II STUDY OF ENZALUTAMIDE, ENZALUTAMIDE WITH MIFEPRISTONE, and TREATMENT OF PHYSI"
NCT06099769,has_status,RECRUITING
NCT06099769,has_phase,
NCT06099769,sponsored_by,Memorial Sloan Kettering Cancer Center
NCT06099769,tests,Enzalutamide
Enzalutamide,has_type,DRUG
NCT06099769,tests,Mifepristone
Mifepristone,has_type,DRUG
NCT06099769,tests,TPC
TPC,has_type,DRUG
NCT02993068,has_title,Stand up to Cancer: MAGENTA (Making Genetic Testing Accessible)
NCT02993068,has_status,SUSPENDED
NCT02993068,has_phase,
NCT02993068,sponsored_by,M.D. Anderson Cancer Center
NCT02993068,tests,Educational Intervention
Educational Intervention,has_type,OTHER
NCT02993068,tests,Genetic Counseling
Genetic Counseling,has_type,OTHER
NCT02993068,tests,Genetic Counseling
Genetic Counseling,has_type,OTHER
NCT02993068,tests,Laboratory Biomarker Analysis
Laboratory Biomarker Analysis,has_type,OTHER
NCT02993068,tests,Questionnaire Administration
Questionnaire Administration,has_type,OTHER
NCT04368468,has_title,Study of the Modifications of the Immune Microenvironment Induced by Neoadjuvant Chemotherapy in Tri
NCT04368468,has_status,COMPLETED
NCT04368468,has_phase,
NCT04368468,sponsored_by,Institut Claudius Regaud
NCT04368468,tests,biomarker evolution
biomarker evolution,has_type,OTHER
NCT05953168,has_title,"An Open-label, Single-arm Phase II Trial of First-line Treatment With Trastuzumab Deruxtecan for Pat"
NCT05953168,has_status,NOT_YET_RECRUITING
NCT05953168,has_phase,
NCT05953168,sponsored_by,Fudan University
NCT05953168,tests,Trastuzumab Deruxtecan
Trastuzumab Deruxtecan,has_type,DRUG
NCT05893368,has_title,New Model for Integrating Person-based Care (PbC) in the Treatment of Advanced HER2-negative Breast 
NCT05893368,has_status,UNKNOWN
NCT05893368,has_phase,
NCT05893368,sponsored_by,Fondazione Policlinico Universitario Agostino Gemelli IRCCS
NCT05893368,tests,Sharing all key aspects associated with the quality of life in a single digital environment
Sharing all key aspects associated with the quality of life in a single digital environment,has_type,OTHER
NCT02630368,has_title,A Phase I/II Study of Metronomic Cyclophosphamide and Oncolytic Poxvirus JX-594 in Patients With Adv
NCT02630368,has_status,UNKNOWN
NCT02630368,has_phase,
NCT02630368,sponsored_by,Institut Bergonié
NCT02630368,tests,Cyclophosphamide and JX-594 dose escalation
Cyclophosphamide and JX-594 dose escalation,has_type,DRUG
NCT02630368,tests,Cyclophosphamide and JX-594
Cyclophosphamide and JX-594,has_type,DRUG
NCT02630368,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
NCT02630368,tests,Avelumab and JX-594 and Cyclophosphamide
Avelumab and JX-594 and Cyclophosphamide,has_type,DRUG
NCT04755868,has_title,A Randomized Phase II Clinical Trial of Talazoparib Maintenance Therapy in Triple-negative Breast Ca
NCT04755868,has_status,UNKNOWN
NCT04755868,has_phase,
NCT04755868,sponsored_by,Yonsei University
NCT04755868,tests,Talazoparib
Talazoparib,has_type,DRUG
NCT04755868,tests,Placebo
Placebo,has_type,DRUG
NCT00912444,has_title,"A Multi-Center, Randomized Study of Docetaxel, Anthracycline and Cyclophosphamide (TAC) Versus Docet"
NCT00912444,has_status,TERMINATED
NCT00912444,has_phase,
NCT00912444,sponsored_by,Shanghai Jiao Tong University School of Medicine
NCT00912444,tests,"Docetaxel, Anthracycline (Doxorubicin or Epirubicin), Cyclophosphamide"
"Docetaxel, Anthracycline (Doxorubicin or Epirubicin), Cyclophosphamide",has_type,DRUG
NCT00912444,tests,"Docetaxel, cyclophosphamide"
"Docetaxel, cyclophosphamide",has_type,DRUG
NCT04445844,has_title,IRENE Study: Phase 2 Study of INCMGA00012 and the Oncolytic Virus Pelareorep in Metastatic Triple Ne
NCT04445844,has_status,ACTIVE_NOT_RECRUITING
NCT04445844,has_phase,
NCT04445844,sponsored_by,"Mridula George, MD"
NCT04445844,tests,Pelareorep
Pelareorep,has_type,BIOLOGICAL
NCT04445844,tests,Quality-of-Life Assessment
Quality-of-Life Assessment,has_type,OTHER
NCT04445844,tests,Questionnaire Administration
Questionnaire Administration,has_type,OTHER
NCT04445844,tests,Retifanlimab
Retifanlimab,has_type,BIOLOGICAL
NCT06631092,has_title,"An Open-label, Phase I/II Multicenter Clinical Trial of NECVAX-NEO1 as add-on to First-line Neoadjuv"
NCT06631092,has_status,RECRUITING
NCT06631092,has_phase,
NCT06631092,sponsored_by,NEC Bio B.V
NCT06631092,tests,Oral DNA Vaccine
Oral DNA Vaccine,has_type,BIOLOGICAL
NCT01910844,has_title,
NCT01910844,has_status,TERMINATED
NCT01910844,has_phase,
NCT01910844,sponsored_by,Centre Jean Perrin
NCT01910844,tests,Cisplatin
Cisplatin,has_type,DRUG
NCT01910844,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
NCT01461044,has_title,"An Ambispective, Non Interventional Study of 2 Cohorts (Triple Negative or HR+) of Patients With HER"
NCT01461044,has_status,COMPLETED
NCT01461044,has_phase,
NCT01461044,sponsored_by,Hoffmann-La Roche
NCT06562192,has_title,"Phase I Open-label, Multi-center Study to Evaluate the Safety, Tolerability, Dosimetry, and Prelimin"
NCT06562192,has_status,RECRUITING
NCT06562192,has_phase,
NCT06562192,sponsored_by,Novartis Pharmaceuticals
NCT06562192,tests,[68Ga]Ga-NNS309
[68Ga]Ga-NNS309,has_type,DRUG
NCT06562192,tests,[177Lu]Lu-NNS309
[177Lu]Lu-NNS309,has_type,DRUG
NCT07040644,has_title,"A Multi-center, Open-label, Randomized, Phase II Trial of Sacituzumab Govitecan Plus Toripalimab Ver"
NCT07040644,has_status,NOT_YET_RECRUITING
NCT07040644,has_phase,
NCT07040644,sponsored_by,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University
NCT07040644,tests,Sacituzumab Govitecan (SG)
Sacituzumab Govitecan (SG),has_type,DRUG
NCT07040644,tests,Toripalimab
Toripalimab,has_type,DRUG
NCT07040644,tests,Nab-paclitaxel
Nab-paclitaxel,has_type,DRUG
NCT05081492,has_title,"A Phase I, First-in-Human Study of Intratumoral Administration of CF33-hNIS-antiPDL1, A Novel Chimer"
NCT05081492,has_status,ACTIVE_NOT_RECRUITING
NCT05081492,has_phase,
NCT05081492,sponsored_by,City of Hope Medical Center
NCT05081492,tests,Oncolytic Virus CF33-expressing hNIS/Anti-PD-L1 Antibody
Oncolytic Virus CF33-expressing hNIS/Anti-PD-L1 Antibody,has_type,BIOLOGICAL
NCT04517292,has_title,"A Phase II, Single-center, Randomized Study of Eribulin Plus Cisplatin (EP) Versus Gemcitabine Plus "
NCT04517292,has_status,UNKNOWN
NCT04517292,has_phase,
NCT04517292,sponsored_by,Fudan University
NCT04517292,tests,"Eribulin,cisplatin"
"Eribulin,cisplatin",has_type,DRUG
NCT04517292,tests,"Gemcitabine,cisplatin"
"Gemcitabine,cisplatin",has_type,DRUG
NCT05464082,has_title,"Towards Functional Precision Oncology to Predict, Prevent, and Treat Early Metastatic Recurrence of "
NCT05464082,has_status,RECRUITING
NCT05464082,has_phase,
NCT05464082,sponsored_by,University of Utah
NCT05464082,tests,Functional Precision Oncology
Functional Precision Oncology,has_type,OTHER
NCT02819882,has_title,A Prospective Registry Study in Patients With Unresectable Locally Advanced or Metastatic Breast Can
NCT02819882,has_status,RECRUITING
NCT02819882,has_phase,
NCT02819882,sponsored_by,Spanish Breast Cancer Research Group
NCT02819882,tests,No intervention
No intervention,has_type,OTHER
NCT01434420,has_title,Triple Negative Breast Cancer: Study of Molecular and Genetic Factors
NCT01434420,has_status,UNKNOWN
NCT01434420,has_phase,
NCT01434420,sponsored_by,Institut Paoli-Calmettes
NCT01434420,tests,BRCA1 BRCA2 PTEN PALB2 mutation
BRCA1 BRCA2 PTEN PALB2 mutation,has_type,GENETIC
NCT04118062,has_title,Communicating With Patients on Cancer Resistance to Treatment: the Development of a Communication To
NCT04118062,has_status,ACTIVE_NOT_RECRUITING
NCT04118062,has_phase,
NCT04118062,sponsored_by,Institut Curie
NCT04118062,tests,Questionnaires
Questionnaires,has_type,BEHAVIORAL
NCT04118062,tests,Semi-structured individual interviews
Semi-structured individual interviews,has_type,BEHAVIORAL
NCT04118062,tests,Focus Group
Focus Group,has_type,OTHER
NCT04118062,tests,DELPHI Consensus Method
DELPHI Consensus Method,has_type,OTHER
NCT06534762,has_title,Efficacy and Safety of Milaberon in Combination With Standard Therapy in Advanced Solid Tumors: an O
NCT06534762,has_status,RECRUITING
NCT06534762,has_phase,
NCT06534762,sponsored_by,Zhejiang Provincial People's Hospital
NCT06534762,tests,Mirabegron
Mirabegron,has_type,BIOLOGICAL
NCT04734262,has_title,"A Phase II Study to Explore the Safety, Tolerability, and Preliminary Antitumor Activity of Sitravat"
NCT04734262,has_status,ACTIVE_NOT_RECRUITING
NCT04734262,has_phase,
NCT04734262,sponsored_by,Fudan University
NCT04734262,tests,Sitravatinib
Sitravatinib,has_type,DRUG
NCT04734262,tests,Tislelizumab
Tislelizumab,has_type,DRUG
NCT04734262,tests,Nab-paclitaxel
Nab-paclitaxel,has_type,DRUG
NCT02365662,has_title,A Phase 1 Study of ABBV-221 in Subjects With Advanced Solid Tumor Types Likely to Exhibit Elevated L
NCT02365662,has_status,TERMINATED
NCT02365662,has_phase,
NCT02365662,sponsored_by,AbbVie
NCT02365662,tests,ABBV-221
ABBV-221,has_type,DRUG
NCT06259162,has_title,The Evaluation the Relationship Between LAG-3 Expression / Immune Checkpoint Protein Expression and 
NCT06259162,has_status,RECRUITING
NCT06259162,has_phase,
NCT06259162,sponsored_by,Samsung Medical Center
NCT06259162,tests,LAG-3 expression / immune checkpoint protein expression
LAG-3 expression / immune checkpoint protein expression,has_type,PROCEDURE
NCT01693562,has_title,"A Phase 1/2 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of MEDI4736 in Subjects"
NCT01693562,has_status,COMPLETED
NCT01693562,has_phase,
NCT01693562,sponsored_by,MedImmune LLC
NCT01693562,tests,MEDI4736
MEDI4736,has_type,DRUG
NCT02071862,has_title,"Ph1 Study of the Safety, PK, and PDn of Escalating Oral Doses of the Glutaminase Inhibitor CB-839, a"
NCT02071862,has_status,COMPLETED
NCT02071862,has_phase,
NCT02071862,sponsored_by,"Calithera Biosciences, Inc"
NCT02071862,tests,CB-839
CB-839,has_type,DRUG
NCT02071862,tests,Pac-CB
Pac-CB,has_type,DRUG
NCT02071862,tests,CBE
CBE,has_type,DRUG
NCT02071862,tests,CB-Erl
CB-Erl,has_type,DRUG
NCT02071862,tests,CBD
CBD,has_type,DRUG
NCT02071862,tests,CB-Cabo
CB-Cabo,has_type,DRUG
NCT05769491,has_title,Investigation of Patterns in Clinical Trial Experiences by Patients Participating in Triple Negative
NCT05769491,has_status,NOT_YET_RECRUITING
NCT05769491,has_phase,
NCT05769491,sponsored_by,Power Life Sciences Inc.
NCT04362462,has_title,Genomic/Molecular Profiling of Residual Disease After Neoadjuvant Chemotherapy in Hispanic/ Latino W
NCT04362462,has_status,UNKNOWN
NCT04362462,has_phase,
NCT04362462,sponsored_by,"Texas Tech University Health Sciences Center, El Paso"
NCT01307891,has_title,"An Open Label, Randomized, Phase II Trial of Abraxane (Paclitaxel Albumin-Bound Particles for Inject"
NCT01307891,has_status,COMPLETED
NCT01307891,has_phase,
NCT01307891,sponsored_by,University of Alabama at Birmingham
NCT01307891,tests,Abraxane alone
Abraxane alone,has_type,DRUG
NCT01307891,tests,Abraxane + Tigatuzumab
Abraxane + Tigatuzumab,has_type,DRUG
NCT04706962,has_title,"A Phase 1, Open-Label, Dose Escalation and Expansion Study of TH1902 in Patients With Advanced Solid"
NCT04706962,has_status,ACTIVE_NOT_RECRUITING
NCT04706962,has_phase,
NCT04706962,sponsored_by,Theratechnologies
NCT04706962,tests,TH1902
TH1902,has_type,DRUG
NCT03808662,has_title,Precision Radiation for OligoMetastatIc and MetaStatic DiseasE (PROMISE)-004: Consolidative Use of R
NCT03808662,has_status,ACTIVE_NOT_RECRUITING
NCT03808662,has_phase,
NCT03808662,sponsored_by,Memorial Sloan Kettering Cancer Center
NCT03808662,tests,Sterotactic Body Radiotherapy/SBRT
Sterotactic Body Radiotherapy/SBRT,has_type,RADIATION
NCT03808662,tests,Standard of care
Standard of care,has_type,DRUG
NCT01232062,has_title,Study of High-dose Chemotherapy Combined With Adoptive Cellular Therapy With Dentritic and Cytokine-
NCT01232062,has_status,COMPLETED
NCT01232062,has_phase,
NCT01232062,sponsored_by,Peking University Cancer Hospital & Institute
NCT02624973,has_title,PErsonalized TREatment of High-risk MAmmary Cancer - the PETREMAC Trial
NCT02624973,has_status,ACTIVE_NOT_RECRUITING
NCT02624973,has_phase,
NCT02624973,sponsored_by,Haukeland University Hospital
NCT02624973,tests,Neoadjuvant tamoxifen + goserelin (premenopausal women)
Neoadjuvant tamoxifen + goserelin (premenopausal women),has_type,DRUG
NCT02624973,tests,Neoadjuvant letrozole (postmenopausal women)
Neoadjuvant letrozole (postmenopausal women),has_type,DRUG
NCT02624973,tests,Neoadjuvant endocrine therapy + palbociclib (if lack of response to endocrine therapy alone)
Neoadjuvant endocrine therapy + palbociclib (if lack of response to endocrine therapy alone),has_type,DRUG
NCT02624973,tests,Neoadjuvant docetaxel + cyclophosphamide
Neoadjuvant docetaxel + cyclophosphamide,has_type,DRUG
NCT02624973,tests,Neoadjuvant docetaxel
Neoadjuvant docetaxel,has_type,DRUG
NCT02624973,tests,Neoadjuvant docetaxel + trastuzumab + pertuzumab
Neoadjuvant docetaxel + trastuzumab + pertuzumab,has_type,DRUG
NCT02624973,tests,Neoadjuvant docetaxel + cyclophosphamide + trastuzumab + pertuzumab
Neoadjuvant docetaxel + cyclophosphamide + trastuzumab + pertuzumab,has_type,DRUG
NCT02624973,tests,Neoadjuvant olaparib
Neoadjuvant olaparib,has_type,DRUG
NCT02624973,tests,Neoadjuvant cyclophosphamide (after 10 weeks of olaparib alone)
Neoadjuvant cyclophosphamide (after 10 weeks of olaparib alone),has_type,DRUG
NCT02624973,tests,Breast conserving surgery or mastectomy + SNB/axillary dissection
Breast conserving surgery or mastectomy + SNB/axillary dissection,has_type,PROCEDURE
NCT02624973,tests,Postoperative radiotherapy breast/chest wall + regional lymph nodes
Postoperative radiotherapy breast/chest wall + regional lymph nodes,has_type,RADIATION
NCT02624973,tests,Adjuvant trastuzumab
Adjuvant trastuzumab,has_type,DRUG
NCT02624973,tests,Adjuvant letrozole (postmenopausal women)
Adjuvant letrozole (postmenopausal women),has_type,DRUG
NCT02624973,tests,Adjuvant tamoxifen + goserelin (premenopausal women)
Adjuvant tamoxifen + goserelin (premenopausal women),has_type,DRUG
NCT02624973,tests,Adjuvant palbociclib (if palbociclib given neoadjuvant)
Adjuvant palbociclib (if palbociclib given neoadjuvant),has_type,DRUG
NCT02624973,tests,Adjuvant Epirubicin+ Cyclophosphamide
Adjuvant Epirubicin+ Cyclophosphamide,has_type,DRUG
NCT03739931,has_title,"A Phase 1, Open-Label, Multicenter, Dose Escalation Study of mRNA-2752, a Lipid Nanoparticle Encapsu"
NCT03739931,has_status,ACTIVE_NOT_RECRUITING
NCT03739931,has_phase,
NCT03739931,sponsored_by,"ModernaTX, Inc."
NCT03739931,tests,mRNA-2752
mRNA-2752,has_type,BIOLOGICAL
NCT03739931,tests,Durvalumab
Durvalumab,has_type,BIOLOGICAL
NCT07017673,has_title,Phase II Trial of Ivonescimab in Combination With Carboplatin + Docetaxel in Patients With Early Sta
NCT07017673,has_status,NOT_YET_RECRUITING
NCT07017673,has_phase,
NCT07017673,sponsored_by,Cedars-Sinai Medical Center
NCT07017673,tests,Ivonescimab
Ivonescimab,has_type,DRUG
NCT07017673,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT07017673,tests,Docetaxel
Docetaxel,has_type,DRUG
NCT06735131,has_title,"A Prospective, Multicenter Clinical Trial Exploring the Optimal Combination Strategies of Radiothera"
NCT06735131,has_status,RECRUITING
NCT06735131,has_phase,
NCT06735131,sponsored_by,Sun Yat-sen University
NCT06735131,tests,"radiotherapy 5 Gy × 5 fractions, once a day"
"radiotherapy 5 Gy × 5 fractions, once a day",has_type,RADIATION
NCT06735131,tests,"radiotherapy 8 Gy × 5 fractions, once a day"
"radiotherapy 8 Gy × 5 fractions, once a day",has_type,RADIATION
NCT06735131,tests,"radiotherapy 8 Gy × 3 fractions, once every other day"
"radiotherapy 8 Gy × 3 fractions, once every other day",has_type,RADIATION
NCT06735131,tests,"radiotherapy 10 Gy× 3 fractions, once every other day"
"radiotherapy 10 Gy× 3 fractions, once every other day",has_type,RADIATION
NCT06735131,tests,"radiotehrapy 0.5Gy twice-a-day × 2 days, repeat for 4 cycles (total 8Gy)"
"radiotehrapy 0.5Gy twice-a-day × 2 days, repeat for 4 cycles (total 8Gy)",has_type,RADIATION
NCT06735131,tests,Toripalimab
Toripalimab,has_type,DRUG
NCT06735131,tests,chemotherapy regimen selected by the investigator
chemotherapy regimen selected by the investigator,has_type,DRUG
NCT05460273,has_title,"Phase 1/2, Multicentre, Open-label, Multiple-cohort Study of Dato-DXd in Chinese Patients With Advan"
NCT05460273,has_status,ACTIVE_NOT_RECRUITING
NCT05460273,has_phase,
NCT05460273,sponsored_by,AstraZeneca
NCT05460273,tests,Datopotamab Deruxtecan (Dato-DXd)
Datopotamab Deruxtecan (Dato-DXd),has_type,DRUG
NCT06358573,has_title,Intratumoral INT230-6 Followed by Neoadjuvant Immuno-chemotherapy in Patients With Early Triple-nega
NCT06358573,has_status,RECRUITING
NCT06358573,has_phase,
NCT06358573,sponsored_by,Swiss Group for Clinical Cancer Research
NCT06358573,tests,INT230-6
INT230-6,has_type,DRUG
NCT06358573,tests,neoadjuvant immuno-chemotherapy
neoadjuvant immuno-chemotherapy,has_type,OTHER
NCT04373031,has_title,Induction Immunotherapy to Promote Immunologic Priming and Enhanced Response to Neoadjuvant Pembroli
NCT04373031,has_status,ACTIVE_NOT_RECRUITING
NCT04373031,has_phase,
NCT04373031,sponsored_by,Providence Health & Services
NCT04373031,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
NCT04373031,tests,IRX 2
IRX 2,has_type,DRUG
NCT02338531,has_title,Biomarker Research Study for PF-03084014 in cHEmoresistant Triple-negative Breast cAncer
NCT02338531,has_status,WITHDRAWN
NCT02338531,has_phase,
NCT02338531,sponsored_by,Jules Bordet Institute
NCT02338531,tests,PF-03084014
PF-03084014,has_type,DRUG
NCT02338531,tests,Breast cancer surgery
Breast cancer surgery,has_type,PROCEDURE
NCT02260531,has_title,A Phase II Study of Cabozantinib Alone or in Combination With Trastuzumab in Breast Cancer Patients 
NCT02260531,has_status,COMPLETED
NCT02260531,has_phase,
NCT02260531,sponsored_by,Dana-Farber Cancer Institute
NCT02260531,tests,Cabozantinib
Cabozantinib,has_type,DRUG
NCT02260531,tests,Trastuzumab
Trastuzumab,has_type,DRUG
NCT05086731,has_title,THRIVE Smart - Leveraging Mobile Health to Improve Oral Chemotherapy Adherence Among Women With Brea
NCT05086731,has_status,COMPLETED
NCT05086731,has_phase,
NCT05086731,sponsored_by,Emory University
NCT05086731,tests,Best Practice
Best Practice,has_type,OTHER
NCT05086731,tests,Informational Intervention
Informational Intervention,has_type,OTHER
NCT05086731,tests,Medical Device Usage and Evaluation
Medical Device Usage and Evaluation,has_type,OTHER
NCT05086731,tests,Quality-of-Life Assessment
Quality-of-Life Assessment,has_type,OTHER
NCT05086731,tests,Survey Administration
Survey Administration,has_type,OTHER
NCT01750073,has_title,A Phase II Study of Neoadjuvant Chemotherapy With and Without Trastuzumab in Patients With Breast Ca
NCT01750073,has_status,ACTIVE_NOT_RECRUITING
NCT01750073,has_phase,
NCT01750073,sponsored_by,University of Nebraska
NCT01750073,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
NCT01750073,tests,Doxorubicin Hydrochloride
Doxorubicin Hydrochloride,has_type,DRUG
NCT01750073,tests,Laboratory Biomarker Analysis
Laboratory Biomarker Analysis,has_type,OTHER
NCT01750073,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT01750073,tests,Radiation Therapy
Radiation Therapy,has_type,RADIATION
NCT01750073,tests,Therapeutic Conventional Surgery
Therapeutic Conventional Surgery,has_type,PROCEDURE
NCT01750073,tests,Trastuzumab
Trastuzumab,has_type,BIOLOGICAL
NCT04725331,has_title,A Phase I/IIa Study of Intra-tumoral BT-001 (TG6030) Administered Alone and in Combination With Pemb
NCT04725331,has_status,RECRUITING
NCT04725331,has_phase,
NCT04725331,sponsored_by,Transgene
NCT04725331,tests,BT-001
BT-001,has_type,BIOLOGICAL
NCT04725331,tests,Pembrolizumab [KEYTRUDA®]
Pembrolizumab [KEYTRUDA®],has_type,DRUG
NCT02365831,has_title,Evaluation of Medical Treatments in MBC HER2 Negative Patients in Italy - Observational Study
NCT02365831,has_status,UNKNOWN
NCT02365831,has_phase,
NCT02365831,sponsored_by,Consorzio Oncotech
NCT02365831,tests,Observation of treatment management
Observation of treatment management,has_type,OTHER
NCT02993094,has_title,Ixazomib (MLN9708) in Combination With Carboplatin in Pretreated Women With Advanced Triple Negative
NCT02993094,has_status,TERMINATED
NCT02993094,has_phase,
NCT02993094,sponsored_by,Arbeitsgemeinschaft medikamentoese Tumortherapie
NCT02993094,tests,Ixazomib
Ixazomib,has_type,DRUG
NCT02993094,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT06691594,has_title,"Prospective, Single-arm, Phase II Study of Stereotactic Radiotherapy Combined with PD-1 Monoclonal A"
NCT06691594,has_status,NOT_YET_RECRUITING
NCT06691594,has_phase,
NCT06691594,sponsored_by,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences"
NCT06691594,tests,neoadjuvant SBRT combined with PD-1 monoclonal antibody and chemotherapy
neoadjuvant SBRT combined with PD-1 monoclonal antibody and chemotherapy,has_type,RADIATION
NCT02599194,has_title,An Exploratory Study of the Role of 18F-FSPG PET/CT Imaging for Cancer Patients Receiving Therapy
NCT02599194,has_status,COMPLETED
NCT02599194,has_phase,
NCT02599194,sponsored_by,Andrei Iagaru
NCT02599194,tests,18F-FSPG
18F-FSPG,has_type,DRUG
NCT02599194,tests,18F-FDG
18F-FDG,has_type,DRUG
NCT03564691,has_title,"A Phase 1 Open Label, Multi-Arm, Multicenter Study of MK-4830 as Monotherapy and in Combination With"
NCT03564691,has_status,ACTIVE_NOT_RECRUITING
NCT03564691,has_phase,
NCT03564691,sponsored_by,Merck Sharp & Dohme LLC
NCT03564691,tests,MK-4830
MK-4830,has_type,DRUG
NCT03564691,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
NCT03564691,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT03564691,tests,Pemetrexed
Pemetrexed,has_type,DRUG
NCT03564691,tests,Lenvatinib
Lenvatinib,has_type,DRUG
NCT03564691,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT03564691,tests,Cisplatin
Cisplatin,has_type,DRUG
NCT03564691,tests,MK-4830A
MK-4830A,has_type,BIOLOGICAL
NCT05000294,has_title,Atezolizumab Plus Tivozanib in Immunologically Cold Tumor Types
NCT05000294,has_status,RECRUITING
NCT05000294,has_phase,
NCT05000294,sponsored_by,University of Florida
NCT05000294,tests,Atezolizumab
Atezolizumab,has_type,DRUG
NCT05000294,tests,Tivozanib
Tivozanib,has_type,DRUG
NCT05422794,has_title,A Phase 1b Trial of ZEN003694 (ZEN-3694) With Pembrolizumab and Nab-Paclitaxel in Patients With Meta
NCT05422794,has_status,RECRUITING
NCT05422794,has_phase,
NCT05422794,sponsored_by,National Cancer Institute (NCI)
NCT05422794,tests,BET Bromodomain Inhibitor ZEN-3694
BET Bromodomain Inhibitor ZEN-3694,has_type,DRUG
NCT05422794,tests,Biopsy Procedure
Biopsy Procedure,has_type,PROCEDURE
NCT05422794,tests,Biospecimen Collection
Biospecimen Collection,has_type,PROCEDURE
NCT05422794,tests,Computed Tomography
Computed Tomography,has_type,PROCEDURE
NCT05422794,tests,Magnetic Resonance Imaging
Magnetic Resonance Imaging,has_type,PROCEDURE
NCT05422794,tests,Nab-paclitaxel
Nab-paclitaxel,has_type,DRUG
NCT05422794,tests,Pembrolizumab
Pembrolizumab,has_type,BIOLOGICAL
NCT03328494,has_title,"A Phase 1/1b Study of Paclitaxel in Combination With BOS172722, a Monopolar Spindle 1 Kinase Inhibit"
NCT03328494,has_status,COMPLETED
NCT03328494,has_phase,
NCT03328494,sponsored_by,Boston Pharmaceuticals
NCT03328494,tests,BOS172722
BOS172722,has_type,DRUG
NCT03328494,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT05983094,has_title,Study of Utidelone Based Neoadjuvant Treatment on Early High-risk or Locally Advanced Breast Cancer
NCT05983094,has_status,NOT_YET_RECRUITING
NCT05983094,has_phase,
NCT05983094,sponsored_by,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences"
NCT05983094,tests,Utidelone
Utidelone,has_type,DRUG
NCT05983094,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT05983094,tests,Epirubicin
Epirubicin,has_type,DRUG
NCT05983094,tests,Trastuzumab
Trastuzumab,has_type,DRUG
NCT05983094,tests,Pertuzumab
Pertuzumab,has_type,DRUG
NCT04750382,has_title,A Single-armed Multicenter Phase Ib / II Study of HX008 (a Recombinant Humanized Anti-PD-1 Monoclona
NCT04750382,has_status,UNKNOWN
NCT04750382,has_phase,
NCT04750382,sponsored_by,Taizhou Hanzhong biomedical co. LTD
NCT04750382,tests,HX008+Cisplatin+Gemcitabine
HX008+Cisplatin+Gemcitabine,has_type,DRUG
NCT06700382,has_title,A Cohort Study of Different Methods of Adjuvant Capecitabine Regimens in Patients With Non-PCR After
NCT06700382,has_status,RECRUITING
NCT06700382,has_phase,
NCT06700382,sponsored_by,Shu Wang
NCT06700382,tests,capecitabine
capecitabine,has_type,DRUG
NCT05492682,has_title,A Study to Evaluate the Safety and Immune Activity of PeptiCRAd-1 in Combination With Pembrolizumab 
NCT05492682,has_status,RECRUITING
NCT05492682,has_phase,
NCT05492682,sponsored_by,Valo Therapeutics Oy
NCT05492682,tests,PeptiCRAd-1
PeptiCRAd-1,has_type,DRUG
NCT05492682,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
NCT05492682,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
